market,MKT_CUSTOMER_ID_C,SSA_TRADE_N,billing_country,FINIS,MLI,MDSMT_MNTHYR_Y,LOC_BDN,gross_revenue,billed_revenue,gross_pieces
BEL,18859,GARAGE DEWOLF SPRL,BEL, 0027416,0870,202504,64.00036972,71.697169925,71.697169925,0.0
BEL,18272,HAMRON BV,BEL, 0027416,0870,202504,64.00036972,71.697169925,71.697169925,0.0
BEL,18260,BORREMANS BVBA,BEL, 0027416,0870,202504,64.00036972,71.697169925,71.697169925,0.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 1520297,0002,202504,129.159811443,144.692803948,152.691715558,2.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2040067,0143,202507,31.680170576,35.490085156,37.461172669,4.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2013334,0193,202507,471.640085288,528.360374509,541.77007555,2.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2092289,0109,202507,22.410234542,25.105329858,26.483084678,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2008678,0457,202507,35.229850746,39.466656281,41.640298594,1.0
BEL,37000,Maasland Motor de Schaetzen NV,BEL, 2335507,0472,202511,26.399481193,29.574330532,31.355706636,3.0
BEL,37000,Maasland Motor de Schaetzen NV,BEL, 2288656,0017,202511,58.560311284,65.602880196,69.546318,2.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2419000,0022,202511,32.499783831,36.408266594,38.425028448,5.0
BEL,37000,Maasland Motor de Schaetzen NV,BEL, 2349683,0455,202511,132.849978383,148.826756977,148.826756977,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2390200,0453,202511,128.35970601,143.796476329,151.739534544,1.0
BEL,37000,Maasland Motor de Schaetzen NV,BEL, 2313959,0477,202511,145.480328578,162.976055921,162.976055921,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2419436,0540,202511,224.070038911,251.017106909,264.874837498,1.0
BEL,37000,Maasland Motor de Schaetzen NV,BEL, 2386952,0155,202511,309.369649805,346.575003232,346.575003232,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2348340,0018,202504,408.59044274,457.728268306,482.977907089,7.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2314208,0606,202504,74.449579444,83.403020507,88.007701404,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 1935062,0107,202508,15.500240185,17.364327095,18.327109417,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2162026,0567,202508,238.930084283,267.66424822,282.451371418,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2012908,0009,202508,121.640246299,136.268922252,143.797018983,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2729825,0512,202508,92.459932748,103.579331434,103.108703084,3.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2727746,0513,202508,57.660159832,64.594474907,64.302900586,2.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2733072,0456,202508,519.399973798,581.863953756,613.992899991,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2261879,0444,202508,115.199790384,129.053925464,136.223914136,40.0
BEL,18252,GARAGE FERDINAND GEUDENS,BEL, 0027416,0870,202508,64.00017468,71.696951404,71.696951404,0.0
BEL,46154,GAR. VINCENT LANGOHR,BEL, 0027416,0870,202508,64.00017468,71.696951404,71.696951404,0.0
BEL,28654,GARAGE DARAND,BEL, 0027401,0855,202508,244.00017468,273.344076856,273.344076856,0.0
BEL,27400,ETS SPIRLET SA,BEL, 0027206,0530,202508,9804.801956417,10983.945167426,10983.945167426,0.0
BEL,10561,GARAGE DE DONCKER BVBA,BEL, 0027416,0870,202508,64.00017468,71.696951404,71.696951404,0.0
BEL,18856,GARAGE GHIJSELS BVBA,BEL, 0027416,0870,202508,64.00017468,71.696951404,71.696951404,0.0
